member_id,member_pw,name,email,birthday,nickname,created_at
user001,$2a$10$aZ7En5hotwtJxFgd2GE4KuLVOR1WtU6xAr9jm5S8bYsj7v8koy1uW,David,user001@example.com,1988-10-22,Ally,2021-06-06 10:43:57
user002,$2a$10$4DEVHnEamBsWxmQldIjGtOuVShfm2F/PJm4Dzjhbmvgu0BpSaXo/q,Grace,user002@example.com,1982-10-13,Johnny,2023-09-08 17:46:51
user003,$2a$10$8MTkfNz3hAUvQ9RsDkuDXeK32y5UrVYwavQtQNmj1Sr9OZ81kXhSW,John,user003@example.com,2001-07-08,Johnny,2024-05-21 23:04:37
user004,$2a$10$0/X2FhB.OJSa7bjUhqLXTePIdP9vuOqEcGYjS3eZEbo252iKURxYq,John,user004@example.com,2003-12-16,Han,2023-10-22 14:29:14
user005,$2a$10$WuA2/BWT5oaqWKBYiyALqufvV4LusaYNDk9g3o2BZ/U7v5M6NT0M.,John,user005@example.com,1997-05-02,Davey,2022-12-06 13:27:40
user006,$2a$10$VzCjGFDy98IGenWNnRWtMe0ABoCVM7sXvvVzp6Webk.2JTXgRp1eu,Hannah,user006@example.com,2004-04-05,Bobby,2023-11-21 04:36:00
user007,$2a$10$gQcbgEZtBK7Lig2p8nBfZewz6.FcNTru4OBy9syeQHecEVLp4jSlK,Frank,user007@example.com,1981-02-01,Gracie,2020-04-18 19:27:44
user008,$2a$10$4SPlbOeL.N05Umm5LylpCeWrn4F4pckOQBBLmmrj6EJA6qh0zvlke,Bob,user008@example.com,1991-03-05,Johnny,2021-04-12 17:39:30
user009,$2a$10$mq/4yeJ1trBFBa5zuW/aCO.sA2.I.HBJFyKF9XFtTJa2hQMFoIgEG,David,user009@example.com,1996-04-02,Johnny,2022-01-12 05:12:00
user010,$2a$10$yGcoRq79/qf48N.aRQ7.3eSBx.PU7c.WNTkayR/fyjRtO2q1lmZxi,Hannah,user010@example.com,2001-05-22,Han,2021-03-20 01:58:02
user011,$2a$10$mONjO7Zicli2JjS6OjIqWuh0Ctnb9BcXfkVW/ak5dBqBVocXO8S/W,Catherine,user011@example.com,2000-12-04,Cate,2023-12-08 12:25:33
user012,$2a$10$WF6HL0eoTRIuMrvMVKlq0uY5FI5RtXQimrmP6HV2kJRWqirEyOmmK,Eva,user012@example.com,1983-12-15,Gracie,2023-05-21 17:29:26
user013,$2a$10$CdAhPM0PgolTvM8/EZibleY.nehGwc3wN4ZCTQgLCS/FEkk4a.Bd2,Eva,user013@example.com,1990-12-24,Cate,2022-05-23 14:19:46
user014,$2a$10$jfa7oBZ2yJYKYxZRejtrMOoNbDnJtM1E4ZOF/8XJ8mHbugv5gKWKe,John,user014@example.com,1998-02-01,Han,2021-01-04 12:42:07
user015,$2a$10$evZBVAuBKqPMe2Fdw6eH2uNWlc1gsCggmxxZombb6viUjd32UQKyi,Alice,user015@example.com,1983-10-16,Johnny,2021-01-14 10:23:56
user016,$2a$10$1BgqBAHGA36HXUf6nPPT6uv3OYDk0vG6QqIZk548/irEH8iqFPso.,Eva,user016@example.com,1988-04-19,Bobby,2022-07-17 08:50:06
user017,$2a$10$1m1xruIvQ8K9cbmbzcm3aO5oA8oVzvKPW56Wk4pZVEDEykv6fxTm2,David,user017@example.com,1993-05-13,Bobby,2021-02-10 11:37:51
